# seqname1 seqname2 %id nid denomid %match nmatch denommatch
X00509.1/2201-2262     AF207902.1/31022-31083  95.16     59     62 100.00     62     62
X00509.1/2201-2262     AF058944.1/9309-9370    82.26     51     62 100.00     62     62
X00509.1/2201-2262     M36656.1/1479-1540      82.26     51     62 100.00     62     62
X00509.1/2201-2262     X90577.1/1000-1062      46.77     29     62  95.31     61     64
X00509.1/2201-2262     X66717.1/2272-2334      45.16     28     62  95.31     61     64
X00509.1/2201-2262     X90576.1/809-871        46.77     29     62  95.31     61     64
X00509.1/2201-2262     D13096.1/9359-9422      45.16     28     62  96.88     62     64
X00509.1/2201-2262     X90572.1/1000-1062      45.16     28     62  95.31     61     64
X00509.1/2201-2262     X90578.1/1000-1062      41.94     26     62  95.31     61     64
X00509.1/2201-2262     X66718.1/795-857        43.55     27     62  95.31     61     64
X00509.1/2201-2262     Z35758.1/8161-8224      48.39     30     62  93.85     61     65
X00509.1/2201-2262     X51325.1/1443-1505      41.94     26     62  95.31     61     64
X00509.1/2201-2262     AF353511.1/27820-27882  45.16     28     62  95.31     61     64
AF207902.1/31022-31083 AF058944.1/9309-9370    85.48     53     62 100.00     62     62
AF207902.1/31022-31083 M36656.1/1479-1540      85.48     53     62 100.00     62     62
AF207902.1/31022-31083 X90577.1/1000-1062      50.00     31     62  95.31     61     64
AF207902.1/31022-31083 X66717.1/2272-2334      48.39     30     62  95.31     61     64
AF207902.1/31022-31083 X90576.1/809-871        50.00     31     62  95.31     61     64
AF207902.1/31022-31083 D13096.1/9359-9422      48.39     30     62  96.88     62     64
AF207902.1/31022-31083 X90572.1/1000-1062      48.39     30     62  95.31     61     64
AF207902.1/31022-31083 X90578.1/1000-1062      45.16     28     62  95.31     61     64
AF207902.1/31022-31083 X66718.1/795-857        46.77     29     62  95.31     61     64
AF207902.1/31022-31083 Z35758.1/8161-8224      51.61     32     62  93.85     61     65
AF207902.1/31022-31083 X51325.1/1443-1505      43.55     27     62  95.31     61     64
AF207902.1/31022-31083 AF353511.1/27820-27882  48.39     30     62  95.31     61     64
AF058944.1/9309-9370   M36656.1/1479-1540      96.77     60     62 100.00     62     62
AF058944.1/9309-9370   X90577.1/1000-1062      51.61     32     62  95.31     61     64
AF058944.1/9309-9370   X66717.1/2272-2334      50.00     31     62  95.31     61     64
AF058944.1/9309-9370   X90576.1/809-871        51.61     32     62  95.31     61     64
AF058944.1/9309-9370   D13096.1/9359-9422      53.23     33     62  96.88     62     64
AF058944.1/9309-9370   X90572.1/1000-1062      50.00     31     62  95.31     61     64
AF058944.1/9309-9370   X90578.1/1000-1062      46.77     29     62  95.31     61     64
AF058944.1/9309-9370   X66718.1/795-857        48.39     30     62  95.31     61     64
AF058944.1/9309-9370   Z35758.1/8161-8224      53.23     33     62  93.85     61     65
AF058944.1/9309-9370   X51325.1/1443-1505      41.94     26     62  95.31     61     64
AF058944.1/9309-9370   AF353511.1/27820-27882  45.16     28     62  95.31     61     64
M36656.1/1479-1540     X90577.1/1000-1062      51.61     32     62  95.31     61     64
M36656.1/1479-1540     X66717.1/2272-2334      50.00     31     62  95.31     61     64
M36656.1/1479-1540     X90576.1/809-871        51.61     32     62  95.31     61     64
M36656.1/1479-1540     D13096.1/9359-9422      53.23     33     62  96.88     62     64
M36656.1/1479-1540     X90572.1/1000-1062      50.00     31     62  95.31     61     64
M36656.1/1479-1540     X90578.1/1000-1062      46.77     29     62  95.31     61     64
M36656.1/1479-1540     X66718.1/795-857        48.39     30     62  95.31     61     64
M36656.1/1479-1540     Z35758.1/8161-8224      53.23     33     62  93.85     61     65
M36656.1/1479-1540     X51325.1/1443-1505      43.55     27     62  95.31     61     64
M36656.1/1479-1540     AF353511.1/27820-27882  46.77     29     62  95.31     61     64
X90577.1/1000-1062     X66717.1/2272-2334      96.83     61     63 100.00     63     63
X90577.1/1000-1062     X90576.1/809-871        98.41     62     63 100.00     63     63
X90577.1/1000-1062     D13096.1/9359-9422      93.65     59     63  95.38     62     65
X90577.1/1000-1062     X90572.1/1000-1062      96.83     61     63 100.00     63     63
X90577.1/1000-1062     X90578.1/1000-1062      92.06     58     63 100.00     63     63
X90577.1/1000-1062     X66718.1/795-857        95.24     60     63 100.00     63     63
X90577.1/1000-1062     Z35758.1/8161-8224      95.24     60     63  98.44     63     64
X90577.1/1000-1062     X51325.1/1443-1505      66.67     42     63  93.85     61     65
X90577.1/1000-1062     AF353511.1/27820-27882  65.08     41     63  93.85     61     65
X66717.1/2272-2334     X90576.1/809-871        98.41     62     63 100.00     63     63
X66717.1/2272-2334     D13096.1/9359-9422      93.65     59     63  95.38     62     65
X66717.1/2272-2334     X90572.1/1000-1062      96.83     61     63 100.00     63     63
X66717.1/2272-2334     X90578.1/1000-1062      92.06     58     63 100.00     63     63
X66717.1/2272-2334     X66718.1/795-857        95.24     60     63 100.00     63     63
X66717.1/2272-2334     Z35758.1/8161-8224      95.24     60     63  98.44     63     64
X66717.1/2272-2334     X51325.1/1443-1505      66.67     42     63  93.85     61     65
X66717.1/2272-2334     AF353511.1/27820-27882  65.08     41     63  93.85     61     65
X90576.1/809-871       D13096.1/9359-9422      95.24     60     63  95.38     62     65
X90576.1/809-871       X90572.1/1000-1062      98.41     62     63 100.00     63     63
X90576.1/809-871       X90578.1/1000-1062      93.65     59     63 100.00     63     63
X90576.1/809-871       X66718.1/795-857        96.83     61     63 100.00     63     63
X90576.1/809-871       Z35758.1/8161-8224      96.83     61     63  98.44     63     64
X90576.1/809-871       X51325.1/1443-1505      68.25     43     63  93.85     61     65
X90576.1/809-871       AF353511.1/27820-27882  66.67     42     63  93.85     61     65
D13096.1/9359-9422     X90572.1/1000-1062      93.65     59     63  95.38     62     65
D13096.1/9359-9422     X90578.1/1000-1062      88.89     56     63  95.38     62     65
D13096.1/9359-9422     X66718.1/795-857        92.06     58     63  95.38     62     65
D13096.1/9359-9422     Z35758.1/8161-8224      90.62     58     64  93.94     62     66
D13096.1/9359-9422     X51325.1/1443-1505      68.25     43     63  95.38     62     65
D13096.1/9359-9422     AF353511.1/27820-27882  66.67     42     63  95.38     62     65
X90572.1/1000-1062     X90578.1/1000-1062      92.06     58     63 100.00     63     63
X90572.1/1000-1062     X66718.1/795-857        95.24     60     63 100.00     63     63
X90572.1/1000-1062     Z35758.1/8161-8224      95.24     60     63  98.44     63     64
X90572.1/1000-1062     X51325.1/1443-1505      69.84     44     63  93.85     61     65
X90572.1/1000-1062     AF353511.1/27820-27882  65.08     41     63  93.85     61     65
X90578.1/1000-1062     X66718.1/795-857        96.83     61     63 100.00     63     63
X90578.1/1000-1062     Z35758.1/8161-8224      90.48     57     63  98.44     63     64
X90578.1/1000-1062     X51325.1/1443-1505      65.08     41     63  93.85     61     65
X90578.1/1000-1062     AF353511.1/27820-27882  66.67     42     63  93.85     61     65
X66718.1/795-857       Z35758.1/8161-8224      93.65     59     63  98.44     63     64
X66718.1/795-857       X51325.1/1443-1505      65.08     41     63  93.85     61     65
X66718.1/795-857       AF353511.1/27820-27882  66.67     42     63  93.85     61     65
Z35758.1/8161-8224     X51325.1/1443-1505      69.84     44     63  92.42     61     66
Z35758.1/8161-8224     AF353511.1/27820-27882  63.49     40     63  92.42     61     66
X51325.1/1443-1505     AF353511.1/27820-27882  66.67     42     63 100.00     63     63
